"Facility Name",Facility,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates
"Highland I","Highland I",,,,,"O'Brien County, IA","495.01 MW",211,2015,Siemens,,"43.0367°, -95.6414°"
"Highland II","Highland II",,,,,"O'Brien County, IA","7.04 MW",3,2015,Siemens,,"43.0508°, -95.5219°"
"Highland New Wind","Highland New Wind","Commercial Scale Wind","Highland New Wind LLC","Henry McBride",,"Red Oak Knob and Tamarack Ridge VA","38 MW",19,,,"Under Construction","38.4644°, -79.6633°"
"Highland North","Highland North","Commercial Scale Wind",EverPower,EverPower,Merchant,"Sidman PA","75 MW",2.5,2012,Nordex,"In Service","40.3167°, -78.6689°"
"Highland Wind Project","Highland Wind Project","Commercial Scale Wind",,"EverPower Renewables",,"Cambria County PA","62.5 MW",25,2009,Nordex,"In Service","40.2942°, -78.6992°"
"Highmore Wind Energy Project","Highmore Wind Energy Project","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Basin Electric","South of Highmore SD","40.5 MW",27,2003,"GE Energy","In Service","44.3806°, -99.4417°"
"Hilltop Wind Farm",Hilltop,"Commercial Scale Wind","Hilltop Power LLC","Hilltop Power LLC","Xcel Energy","Pipestone MN","2 MW",1,2009,DeWind,"In Service","43.9986°, -96.3128°"
"Hodges Badge","Hodges Badge","Community Wind","Hodges Badge Company","Hodges Badge Company","Hodges Badge Company","Portsmouth RI","0.25 MW",1,2012,Siva,"In Service","41.5664°, -71.2550°"
"Hog Creek","Hog Creek",,,,,"Hardin County, OH","66 MW",30,2017,Vestas,,"40.7719°, -83.7392°"
"Holy Name Central Catholic School Wind Turbine","Holy Name Central Catholic School Wind Turbine","Community Wind","Holy Name Central Catholic School","Sustainable Energy Developments","Holy Name Central Catholic School","Worcester MA","0.6 MW",1,2008,Vestas,"In Service","42.2408°, -71.7839°"
"Hometown WindPower Anoka","Hometown WindPower Anoka",,,,,"Anoka County, MN","0.16 MW",1,2010,Danwin,,"45.2272°, -93.3836°"
"Hometown WindPower Arlington","Hometown WindPower Arlington",,,,,"Sibley County, MN","0.16 MW",1,2010,Danwin,,"44.6128°, -94.0650°"
"Hometown WindPower Brownton","Hometown WindPower Brownton",,,,,"McLeod County, MN","0.16 MW",1,2010,Danwin,,"44.7336°, -94.3422°"
"Hometown WindPower Buffalo","Hometown WindPower Buffalo",,,,,"Wright County, MN","0.16 MW",1,2010,Danwin,,"45.1858°, -93.8353°"
"Hometown WindPower Chaska","Hometown WindPower Chaska",,,,,"Carver County, MN","0.16 MW",1,2010,Danwin,,"44.8217°, -93.5794°"
"Hometown WindPower East Grand Forks","Hometown WindPower East Grand Forks",,,,,"Polk County, MN","0.16 MW",1,2010,Danwin,,"47.9378°, -96.9872°"
"Hometown WindPower Faribault","Hometown WindPower Faribault",,,,,"Rice County, MN","0.16 MW",1,2010,Danwin,,"44.3361°, -93.2917°"
"Hometown WindPower North St. Paul","Hometown WindPower North St. Paul",,,,,"Ramsey County, MN","0.16 MW",1,2010,Danwin,,"45.0114°, -92.9983°"
"Hometown WindPower Olivia","Hometown WindPower Olivia",,,,,"Renville County, MN","0.16 MW",1,2010,Danwin,,"44.7778°, -94.9986°"
"Hometown WindPower Shakopee","Hometown WindPower Shakopee",,,,,"Scott County, MN","0.16 MW",1,2010,Danwin,,"44.7994°, -93.4997°"
"Hometown WindPower Winthrop","Hometown WindPower Winthrop",,,,,"Sibley County, MN","0.16 MW",1,2010,Danwin,,"44.5378°, -94.3600°"
"Honda Plant","Honda Plant",,,,,"Logan County, OH","3.4 MW",2,2013,"GE Wind",,"40.4494°, -83.8933°"
"Hooper Bay Wind Farm","Hooper Bay","Commercial Scale Wind","Alaska Village Electric Coop (AVEC)","Alaska Village Electric Coop (AVEC)","Alaska Village Electric Coop (AVEC)","Hooper Bay AK","0.3 MW",3,2008,DES,"In Service","61.5358°, -166.0972°"
"Hoopeston Wind","Hoopeston Wind",,,,,"Vermilion County, IL","98 MW",49,2015,Vestas,,"40.3981°, -87.7956°"
Hoosac,Hoosac,"Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables",NSTAR,"Florida MA","30 MW",20,2012,"GE Energy","In Service","42.7108°, -73.0197°"
"Hoosier Wind Project","Hoosier Wind Project","Commercial Scale Wind",EnXco,EnXco,"Indianapolis Power & Light","Benton County IN","106 MW",53,2009,REpower,"In Service","40.6367°, -87.3000°"
"Hopkins Ridge II Wind Farm","Hopkins Ridge II","Commercial Scale Wind","Puget Sound Energy","RES Americas","Puget Sound Energy","Columbia County","7.2 MW",4,2008,Vestas,"In Service","46.4081°, -117.8133°"
"Hopkins Ridge Wind Farm","Hopkins Ridge Wind Farm","Commercial Scale Wind","Puget Sound Energy","RES America","Puget Sound Energy","Columbia County","149.4 MW",83,2005,Vestas,"In Service","46.4206°, -117.8022°"
"Horse Butte Wind Project","Horse Butte Wind Project","Commercial Scale Wind","Horse Butte Wind 1 LLC","Utah Associated Municipal Power Systems",,"Bonneville ID","57.6 MW",32,2012,Vestas,"In Service","43.4917°, -111.7894°"
"Horse Creek Wind","Horse Creek Wind",,,,,"Haskell County, TX","230 MW",100,2016,"GE Wind",,"33.3097°, -99.5567°"
"Horse Hollow","Horse Hollow",,,,,"Taylor County, TX","210 MW",140,2017,"GE Wind",,"32.2222°, -100.0617°"
"Horse Hollow Expansion Wind Farm","Horse Hollow Expansion","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources",Market,"Near Abilene TX","3 MW",2,2006,"GE Energy","In Service","32.2431°, -100.2656°"
"Horse Hollow II Wind Farm","Horse Hollow II","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources",Market,"Taylor County TX","299 MW",130,2006,Siemens,"In Service","32.2439°, -100.1319°"
"Horse Hollow III Wind Farm","Horse Hollow III","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources",Market,"Taylor County TX","223.5 MW",149,2006,"GE Energy","In Service","32.2431°, -100.0453°"
"Horse Hollow Wind Energy Center","Horse Hollow Wind Energy Center","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources",,"Near Abilene TX","213 MW",142,2005,"GE Energy","In Service","32.2306°, -100.0481°"
"Horseshoe Bend","Horseshoe Bend",,,,,"Gilliam County, OR","290 MW",116,2012,"GE Wind",,"45.5739°, -120.0661°"
"Horseshoe Bend Wind Farm","Horseshoe Bend","Commercial Scale Wind","United Materials","Exergy Development Group","Idaho Power","West of Great Falls MT","9 MW",6,2006,"GE Energy","In Service","47.4975°, -111.4325°"
"Hot Springs Wind Farm","Hot Springs","Commercial Scale Wind","Idaho Windfarms / John Deere","Idaho Windfarms","Idaho Power","Elmore County ID","21 MW",21,2009,"Suzlon Energy Company","In Service","42.9500°, -115.6300°"
Howard,Howard,"Commercial Scale Wind",EverPower,EverPower,"NYSERDA / Merchant","Hornell NY","51.25 MW",25,2011,REpower,"In Service","42.3136°, -77.5494°"
"Howard Wind Energy Project","Howard Wind Energy Project","Community Wind","City of Howard","City of Howard","City of Howard","Howard SD","0.22 MW",2,2001,Micon,"In Service","44.0075°, -97.5267°"
"Hudson Canyon","Hudson Canyon","Offshore Wind","Deepwater Wind Long Island","Deepwater Wind",,"Atlantic Ocean NY","1000 MW",200,,,Proposed,"40.1511°, -73.5300°"
"Hueco Mountain Wind Ranch","Hueco Mountain Wind Ranch","Commercial Scale Wind","El Paso Electric Co","Cielo Wind Power","El Paso Electric Co","El Paso County TX","1.32 MW",2,2001,Vestas,"In Service","31.6967°, -106.2950°"
"Huerfano River","Huerfano River",,,,,"Huerfano County, CO","8 MW",4,2013,Sany,,"37.7744°, -104.8319°"
"Hull Wind Farm",Hull,"Commercial Scale Wind","Hull Municipal Light Department","Hull Municipal Light Department","Hull Municipal Light Department","Hull MA","0.66 MW",1,2001,Vestas,"In Service","42.2728°, -70.8597°"
"Hull Wind II Wind Farm","Hull II","Commercial Scale Wind","Hull Municipal Light Department","Hull Municipal Light Department","Hull Municipal Light Department","Hull MA","1.8 MW",1,2006,Vestas,"In Service","42.2728°, -70.8597°"
"Humboldt Industrial Park Wind Farm","Humboldt Industrial Park","Community Wind","Pennsylvania Wind Energy","Energy Unlimited","Community Energy","Hazleton PA","0.13 MW",2,1999,,"In Service","40.9508°, -75.9736°"
"Huron Schools","Huron Schools","Definition:Small Scale Wind","Huron Schools",,"Huron Schools","Huron OH","0.1 MW",1,2010,"Northern Power Systems","In Service","41.3961°, -82.5647°"
"Hyannis Country Garden Wind Farm","Hyannis Country Garden","Definition:Small Scale Wind","Hyannis Country Garden",,"Hyannis Country Garden","Hyannis MA","0.1 MW",1,2008,DES,"In Service","41.6356°, -70.2994°"
"Hydrogen Pilot Project Wind Farm","Hydrogen Pilot Project","Definition:Small Scale Wind","Idaho Synthetic Fuels","Idaho Synthetic Fuels",,"South of Boise ID","0.1 MW",2,2006,,"In Service","43.5142°, -116.0881°"
"Hywind 2 Demonstration","Hywind 2 Demonstration","Offshore Wind","Statoil North America","Statoil North America",,"Atlantic Ocean ME","12 MW",4,,,Proposed,"43.5239°, -69.5339°"
"IBEW Local 103 Wind Farm","IBEW Local 103","Definition:Small Scale Wind","IBEW Local 103","IBEW Local 103","IBEW Local 103","Dorchester MA","0.1 MW",1,2005,Fuhrlander,"In Service","42.3072°, -71.0331°"
"IDGWP Wind Farm",IDGWP,"Community Wind","Cedar Falls","Iowa Distributed Wind Generation Project","Cedar Falls","Algona IA","2.25 MW",3,1998,Zond,"In Service","43.0700°, -94.2331°"
"Ida Grove","Ida Grove",,,,,"Ida County, IA","276 MW",120,2016,"GE Wind",,"42.3725°, -95.3889°"
"Illinois Rural Electric Cooperative Wind Farm","Illinois Rural Electric Cooperative","Commercial Scale Wind","Illinois Rural Electric Cooperative","Illinois Rural Electric Cooperative","Illinois Rural Electric Cooperative","Pike County IL","1.65 MW",1,2005,Vestas,"In Service","39.6189°, -90.9628°"
"Illinois Sustainable Technologies Center","Illinois Sustainable Technologies Center","Commercial Scale Wind","GSG 3- LLC","FPC/GSG wind",ComEd,"Champaign IL","2.5 MW",1,2007,Clipper,"In Service","40.0906°, -88.2419°"
"Inadale (Roscoe IV) Wind Farm","Inadale (Roscoe IV)","Commercial Scale Wind","E.On Climate & Renewables","E.On Climate & Renewables",,"Scurry and Nolan Counties TX","197 MW",197,2009,Mitsubishi,"In Service","32.3467°, -100.3797°"
"Indian Mesa Wind Farm I","Indian Mesa Wind Farm","Commercial Scale Wind","NextEra Energy Resources","National Wind Power; Orion Energy","TXU Electric & Gas- Lower Colorado River Authority","Pecos County TX","82.5 MW",125,2001,Vestas,"In Service","30.9203°, -102.1169°"
"Indian Mesa Wind Farm II","Indian Mesa Wind Farm","Commercial Scale Wind",Vestas,"Great Plains Windpower",,"Hansford County TX","3 MW",1,2003,Vestas,"In Service","36.2781°, -101.3450°"
"Inland Empire Utility Agency (IEUA)","Inland Empire Utility Agency (IEUA)","Community Wind","Foundation Windpower","Foundation Windpower",IEUA,"Chino CA","1 MW",1,2011,Mitsubishi,"In Service","34.0850°, -117.5267°"
"International Turbine Research Wind Farm","International Turbine Research","Commercial Scale Wind",,"International Turbine Research","Pacific Gas & Electric Co","Pacheco Pass CA","15.87 MW",167,,Various,"In Service","37.0444°, -121.1750°"
"Intrepid Expansion Wind Farm","Intrepid Expansion","Commercial Scale Wind","MidAmerican Energy","MidAmerican Energy","MidAmerican Energy","Buena Vista & Sac Counties IA","15 MW",15,2005,Mitsubishi,"In Service","42.4833°, -95.3089°"
"Intrepid Wind Farm",Intrepid,"Commercial Scale Wind","MidAmerican Energy","Clipper Windpower","MidAmerican Energy","Buena Vista Sac Counties IA","160.5 MW",107,2004,"GE Wind","In Service","42.5381°, -95.2894°"
"Iowa Distributed Wind Generation Project","Iowa Distributed Wind Generation Project","Community Wind","Consortium -- Cedar Falls leads with 2/3 ownership","Iowa Distributed Wind Generation Project","Consortium -- Cedar Falls leads with 2/3 ownership","Algona IA","2.25 MW",3,1998,"Zond 750","In Service","43.0692°, -94.2256°"
"Iowa Lakes Community College Wind Farm","Iowa Lakes Community College","Community Wind","Iowa Lakes Community College","Iowa Lakes Community College","Iowa Lakes Community College","Esterville IA","1.65 MW",1,2005,Vestas,"In Service","43.3978°, -94.8178°"
"Iowa Lakes Lakota Wind Farm","Iowa Lakes Lakota Wind","Commercial Scale Wind","Iowa Lakes Electric Cooperative","Iowa Lakes Electric Cooperative",,"West of Lakota IA","10.5 MW",7,2009,"GE Energy","In Service","43.3769°, -94.1394°"
"Iowa Lakes Superior Wind Farm","Iowa Lakes Superior Wind","Commercial Scale Wind","Iowa Lakes Electric Cooperative","Iowa Lakes Electric Cooperative",,"West of Superior IA","10.5 MW",7,2009,"GE Energy","In Service","43.4478°, -94.9808°"
Ipswich,Ipswich,"Community Wind","Town of Ipswich","Town of Ipswich","Ipswich Municipal Light Department / Ipswich Public Schools","Ipswich MA","1.6 MW",1,2011,"GE Energy","In Service","42.7164°, -70.8419°"
"Ipswich II","Ipswich II",,,,,"Essex County, MA","2 MW",1,2012,Hyundai,,"42.7172°, -70.8464°"
"Ironwood I","Ironwood I","Commercial Scale Wind","Duke Energy","Infinity Wind Power / Westar","Westar Energy","Wright KS","167.9 MW",73,2012,Siemens,"In Service","37.7925°, -99.8525°"
"JD Wind 1 Wind Farm","JD Wind 1","Commercial Scale Wind","DWS/John Deere Wind","DWS/John Deere Wind","Xcel Energy","Hansford County TX","10 MW",8,2006,"Suzlon Energy Company","In Service","36.3983°, -101.3769°"
"JD Wind 10 Wind Farm","JD Wind 10","Commercial Scale Wind","DWS/John Deere Wind","DWS/John Deere Wind","Southwestern Public Service",TX,"10 MW",8,2008,"Suzlon Energy Company","In Service","35.8083°, -101.9947°"
"JD Wind 11 Wind Farm","JD Wind 11","Commercial Scale Wind","DWS/John Deere Wind","DWS/John Deere Wind","Southwestern Public Service",TX,"10 MW",8,2009,"Suzlon Energy Company","In Service","35.8083°, -101.9947°"
"JD Wind 2 Wind Farm","JD Wind 2","Commercial Scale Wind","DWS/John Deere Wind","DWS/John Deere Wind","Xcel Energy","TX/OK panhandle TX","10 MW",8,2006,"Suzlon Energy Company","In Service","36.3983°, -101.3769°"
"JD Wind 3 Wind Farm","JD Wind 3","Commercial Scale Wind","DWS/John Deere Wind","DWS/John Deere Wind","Xcel Energy","TX/OK panhandle TX","10 MW",8,2006,"Suzlon Energy Company","In Service","36.3983°, -101.3769°"
"JD Wind 4 Wind Farm","JD Wind 4","Commercial Scale Wind","John Deere Wind","DWS/John Deere Wind","Xcel Energy","Hansford County TX","79.8 MW",38,2008,"Suzlon Energy Company","In Service","36.3983°, -101.3769°"
"JD Wind 5 Wind Farm","JD Wind 5","Commercial Scale Wind","John Deere Wind","DWS/John Deere Wind",Xcel,"Sherman County TX","10 MW",8,2006,"Suzlon Energy Company","In Service","36.4667°, -101.8133°"
"JD Wind 6 Wind Farm","JD Wind 6","Commercial Scale Wind","John Deere Wind","DWS/John Deere Wind","Xcel Energy","Sherman County TX","10 MW",8,2007,"Suzlon Energy Company","In Service","36.4667°, -101.8133°"
"JD Wind 7 Wind Farm","JD Wind 7","Commercial Scale Wind","John Deere Wind","DWS/John Deere Wind","Xcel Energy",TX,"10 MW",8,2009,"Suzlon Energy Company","In Service","35.8083°, -101.9947°"
"JD Wind 8 Wind Farm","JD Wind 8","Commercial Scale Wind","DWS/John Deere Wind","DWS/John Deere Wind","Southwestern Public Service",TX,"10 MW",8,2009,"Suzlon Energy Company","In Service","35.8083°, -101.9947°"
"JD Wind 9 Wind Farm","JD Wind 9","Commercial Scale Wind","DWS/John Deere Wind","DWS/John Deere Wind","Southwestern Public Service",TX,"10 MW",8,2008,"Suzlon Energy Company","In Service","35.8083°, -101.9947°"
"JJN Wind Farm","JJN Wind Farm","Commercial Scale Wind","JJNWind Farm","JJNWind Farm",,"Buffalo Ridge MN","1.5 MW",1,2004,Vestas,"In Service","44.0039°, -96.0525°"
Javelina,Javelina,,,,,"Webb County, TX","19.69 MW",11,2015,"GE Wind",,"27.3311°, -98.9772°"
"Javelina II","Javelina II",,,,,"Webb County, TX","182 MW",91,2016,"GE Wind",,"27.5217°, -98.9189°"
"Jeffers Wind Farm",Jeffers,"Commercial Scale Wind","Edison Mission Group/WED","Edison Mission Group/WED","Northern States Power",MN,"50 MW",20,2008,Clipper,"In Service","44.0650°, -95.2558°"
"Jefferson Offshore","Jefferson Offshore","Offshore Wind","Coastal Point Energy LLC","Coastal Point Energy LLC",,"Gulf of Mexico TX","300 MW",,,,Proposed,"29.5681°, -93.9569°"
"Jericho Mountain","Jericho Mountain",,,,,"Coos County, NH","14.25 MW",5,2015,"GE Wind",,"44.4689°, -71.2256°"
"Jericho Rise","Jericho Rise",,,,,"Franklin County, NY","77.7 MW",37,2016,Gamesa,,"44.9192°, -74.1275°"
"Jersey Atlantic Wind Farm","Jersey Atlantic Wind Farm","Commercial Scale Wind","Babcock & Brown owns majority","Jersey American Wind- LLC","Atlantic County Utilities Authority","Atlantic City NJ","7.5 MW",5,2005,"GE Energy","In Service","39.3839°, -74.4486°"
"Jett Creek","Jett Creek",,,,,"Baker County, OR","10 MW",5,2017,"GE Wind",,"44.4258°, -117.2714°"
"Jiminy Peak Ski Resort Wind Farm","Jiminy Peak Ski Resort","Community Wind","Jiminy Peak Mountain Resort","Sustainable Energy Developments","Jiminy Peak Mountain Resort","Hancock MA","1.5 MW",1,2007,"GE Energy","In Service","42.5553°, -73.2897°"
"Judith Gap Wind Farm","Judith Gap","Commercial Scale Wind",Invenergy,Invenergy,"Northwestern Energy","South of Judith Gap MT","135 MW",90,2005,"GE Energy","In Service","46.6006°, -109.7489°"
"Jumbo Road","Jumbo Road",,,,,"Castro County, TX","299.7 MW",162,2015,"GE Wind",,"34.7225°, -102.1994°"
"Junction Hilltop Wind","Junction Hilltop Wind","Community Wind","Community Owned","Tom Wind & Bill Sutton","Interstate Power and Light (Alliant Energy)","Grand Junction IA","8 MW",5,2012,"GE Energy","In Service","42.0467°, -94.2397°"
"Juniper Canyon","Juniper Canyon","Commercial Scale Wind",Iberdrola,Iberdrola,Merchant,"In Klickitat County 4.6 miles Southeast of Goldendale","151.2 MW",63,2011,Mitsubishi,"In Service","45.9103°, -120.2244°"
"KIBSD Wind Project",KIBSD,"Community Wind",KIBSD,,,"Kodiak Island Borough, Alaska",,,2012,Skystream,"In Service","57.7933°, -152.3936°"
"KODE Novus Phase I","KODE Novus Phase I","Commercial Scale Wind",DeWind,DeWind,"Xcel Energy","Guymon OK","80 MW",40,2012,DeWind,"In Service","36.5303°, -101.3658°"
"KODE Novus Phase II","KODE Novus Phase II","Commercial Scale Wind",DeWind,DeWind,"Xcel Energy","Guymon OK","40 MW",20,2012,DeWind,"In Service","36.5317°, -101.3325°"
"KTFC Midwest Bible Radio Wind Farm","KTFC Midwest Bible Radio","Definition:Small Scale Wind","KTFC Midwest Bible Radio",,"KTFC Midwest Bible Radio",IA,"0.07 MW",1,2006,,"In Service","42.4836°, -96.3067°"
"Kaheawa Wind Farm",Kaheawa,"Commercial Scale Wind","UPC Wind Partners & Makani Nui Associates","UPC Wind Partners & Makani Nui Associates","Maui Electric Co.","Maalaea Harbor- Maui HI","30 MW",20,2006,"GE Energy","In Service","20.2564°, -155.8503°"
